                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91006,                 2.7468,                  1.222,                0.95058,                0.19764,                0.38323,                0.27256,                  0.913,                 3.6532,                 1.3655,             0.00036603,             0.00036603,             0.00036603
                      2,                0.92492,                  1.886,                 1.2471,                0.81066,                0.44242,                0.48252,                 0.3491,                0.92884,                 2.5223,                 1.4248,             0.00072178,             0.00072178,             0.00072178
                      3,                0.97808,                  1.666,                 1.2751,                0.75943,                0.31764,                0.39214,                0.26609,                 1.0893,                 2.6374,                 1.4182,              0.0010629,              0.0010629,              0.0010629
                      4,                 1.0029,                 1.5137,                  1.294,                0.84806,                0.48283,                0.51665,                0.37434,                0.91594,                 1.8302,                 1.4065,               0.001045,               0.001045,               0.001045
                      5,                0.92686,                 1.2754,                 1.2393,                0.66699,                0.51687,                 0.5338,                0.39405,                0.90654,                 1.4628,                 1.3272,               0.001023,               0.001023,               0.001023
                      6,                0.91481,                 1.2029,                 1.2503,                0.77442,                0.53104,                0.56392,                 0.4098,                0.89392,                 1.3651,                 1.3311,               0.001001,               0.001001,               0.001001
                      7,                0.90679,                 1.0938,                  1.225,                0.74337,                0.44817,                0.42607,                0.32383,                0.87584,                  1.819,                 1.3267,             0.00097901,             0.00097901,             0.00097901
                      8,                0.88398,                 1.0327,                 1.2099,                 0.7661,                0.57455,                0.58987,                  0.433,                0.86626,                  1.164,                 1.3179,             0.00095702,             0.00095702,             0.00095702
                      9,                0.83012,                0.94467,                 1.2009,                 0.7361,                0.54998,                0.54678,                0.38833,                0.92018,                 1.3852,                 1.3312,             0.00093502,             0.00093502,             0.00093502
                     10,                0.85752,                0.93087,                 1.2061,                0.77417,                0.56938,                0.60105,                0.43417,                0.87253,                 1.1374,                 1.3571,             0.00091302,             0.00091302,             0.00091302
                     11,                0.83769,                0.92371,                 1.1922,                0.81687,                0.55549,                0.59894,                0.46207,                0.81715,                 1.0395,                 1.2894,             0.00089102,             0.00089102,             0.00089102
                     12,                 0.8231,                0.88455,                 1.1792,                0.73111,                0.62376,                0.62468,                0.46875,                0.84904,                 1.0203,                 1.2685,             0.00086902,             0.00086902,             0.00086902
                     13,                0.82462,                0.86154,                 1.1915,                0.79297,                0.60309,                0.61536,                0.47702,                0.81572,                 0.9476,                 1.2745,             0.00084703,             0.00084703,             0.00084703
                     14,                0.79522,                0.84265,                 1.1545,                0.71447,                0.58507,                0.57984,                0.43256,                0.82932,                 1.0006,                 1.3377,             0.00082503,             0.00082503,             0.00082503
                     15,                0.79375,                0.79534,                 1.1703,                0.83749,                 0.6356,                0.65475,                0.51507,                0.75349,                0.79366,                 1.2287,             0.00080303,             0.00080303,             0.00080303
                     16,                0.77039,                 0.7449,                 1.1603,                0.84991,                0.57894,                0.61782,                0.49147,                0.74386,                0.84926,                 1.2125,             0.00078103,             0.00078103,             0.00078103
                     17,                0.76815,                0.76417,                 1.1628,                0.80947,                0.59708,                0.62494,                0.49662,                0.73928,                0.83272,                 1.2024,             0.00075904,             0.00075904,             0.00075904
                     18,                0.75634,                0.77815,                 1.1515,                0.86812,                0.58178,                0.63637,                0.50078,                0.79459,                0.86348,                 1.2421,             0.00073704,             0.00073704,             0.00073704
                     19,                0.77026,                 0.7336,                 1.1582,                0.79336,                0.63615,                 0.6277,                0.48835,                0.73138,                0.81217,                 1.2047,             0.00071504,             0.00071504,             0.00071504
                     20,                0.73878,                0.73129,                 1.1452,                0.79867,                0.58936,                0.63193,                0.50261,                0.77411,                0.83723,                 1.2261,             0.00069304,             0.00069304,             0.00069304
                     21,                0.72615,                0.69487,                 1.1274,                0.82878,                0.61313,                0.64474,                0.50814,                0.77232,                0.79921,                 1.2287,             0.00067104,             0.00067104,             0.00067104
                     22,                0.74898,                0.71892,                 1.1484,                0.80567,                0.57208,                0.62805,                0.48945,                0.78838,                0.83639,                 1.2592,             0.00064905,             0.00064905,             0.00064905
                     23,                    0.7,                 0.6915,                 1.1147,                0.78898,                0.60877,                 0.6538,                0.52246,                0.70913,                0.80993,                  1.205,             0.00062705,             0.00062705,             0.00062705
                     24,                0.67729,                0.64176,                 1.0979,                0.81252,                0.57069,                0.63967,                0.50877,                0.73111,                0.90137,                 1.1965,             0.00060505,             0.00060505,             0.00060505
                     25,                0.65656,                0.64731,                 1.0842,                0.88161,                0.61032,                0.66404,                0.53346,                0.73133,                0.73873,                 1.2234,             0.00058305,             0.00058305,             0.00058305
                     26,                0.67791,                0.63192,                 1.1031,                 0.8284,                0.60481,                  0.646,                0.51712,                0.74636,                0.77157,                 1.2249,             0.00056105,             0.00056105,             0.00056105
                     27,                0.68859,                0.63416,                  1.102,                0.87572,                0.60011,                0.68201,                 0.5466,                 0.7045,                0.71994,                 1.1735,             0.00053906,             0.00053906,             0.00053906
                     28,                0.66895,                0.59977,                 1.1017,                0.83824,                0.62293,                0.67905,                0.54808,                0.71157,                0.68466,                 1.1835,             0.00051706,             0.00051706,             0.00051706
                     29,                0.66453,                0.60921,                 1.0969,                0.85533,                0.62802,                0.67475,                0.54993,                0.72281,                 0.7154,                 1.2012,             0.00049506,             0.00049506,             0.00049506
                     30,                0.66055,                0.59151,                 1.0943,                0.84042,                0.63084,                0.65886,                0.53242,                0.70782,                0.71728,                 1.1726,             0.00047306,             0.00047306,             0.00047306
                     31,                0.64863,                 0.5862,                 1.0788,                 0.8753,                0.62097,                0.67301,                0.54561,                0.68634,                0.69727,                  1.184,             0.00045107,             0.00045107,             0.00045107
                     32,                0.63272,                0.57193,                 1.0884,                0.86697,                0.60151,                0.65387,                0.52915,                0.70446,                0.70664,                 1.2018,             0.00042907,             0.00042907,             0.00042907
                     33,                0.63496,                0.54325,                 1.0728,                0.90923,                0.61281,                 0.6868,                0.56064,                0.69289,                0.67492,                 1.1667,             0.00040707,             0.00040707,             0.00040707
